Time,Name,Venue,Address,City,State,Map,Frequency,Cost,Info,Email,Link,Phone,Reviews
7:00pm,Open Mic,BrainWash Cafe,1122 Folsom Street,San Francisco,CA,Google map,Weekly,Free,"",Mike Skott,"",(415) 861-3663,Write your review (0)
7:00pm,Monday Happy Hour Comedy,Cafe Royale,800 Post St,San Francisco,CA,Google map,Monthly,Free,Important,Cara Tramontano,"",(415) 441-4099,Write your review (0)
7:30pm,Open Mic,Hotel Utah,500 Fourth Street,San Francisco,CA,Google map,Weekly,Free,"",Brenden Getzell,"",(415) 546-6300,Write your review (1)
8:00pm,Open Mic,Bird And Beckett Books,653 Chenery,San Francisco,CA,Google map,Bi-weekly,Free,Important,"",Website,(415) 586-3733,Write your review (0)
9:00pm,Open Mic,Portals Tavern,179 West Portal Avenue,San Francisco,CA,Google map,Weekly,Free,Important,Justin Alan,"",(415) 731-1208,Write your review (0)
