Time,Name,Venue,Address,City,State,Map,Frequency,Cost,Info,Email,Link,Phone,Reviews
8:00pm,Open Mic,BrainWash Cafe,1122 Folsom Street,San Francisco,CA,Google map,Weekly,Free,"","","",(415) 861-3663,Write your review (1)
9:30pm,Overnight Sensation,Showdown,10 6th St.,San Francisco,CA,Google map,Bi-weekly,Free,Important,"",Website,(415) 503-0684,Write your review (1)
10:00pm,Open Mic,La Roccas Corner,957 Columbus Ave,San Francisco,CA,Google map,Weekly,Free,"",Host,"",(415) 674-1266,Write your review (1)
