Time,Name,Venue,Address,City,State,Map,Frequency,Cost,Info,Email,Link,Phone,Reviews
7:00pm,Open Mike,Bazaar Cafe,5927 California St.,San Francisco,CA,Google map,Weekly,Paid,Important,"",Website,(415) 831-5620,Write your review (0)
7:00pm,Open Mic,Sacred Grounds Cafe,2059 Hayes St,San Francisco,CA,Google map,Weekly,Free,Important,Mr. Natural,Website,(415) 397-3859,Write your review (0)
8:00pm,Open Mic,Game On Sports,1631 North Capitol Avenue,San Francisco,CA,Google map,Weekly,Free,"",T.C. Holub,"",(408) 258-1427,Write your review (0)
